SETUP PARAMETERS
a0,a1,a2,v_phot,v_outer,t_phot
2.77,-1.67,7.26,10.4,30.6,9.26

OPACITY PROFILE PARAMETERS
 ,log_tau,v_min,v_max,aux,temp
H_I,-1.24,10.4,30.6,0.1,10.0
He_I,0.887,10.4,30.6,0.573,11.6
He_II,5.79,10.4,30.6,0.1,3.0
Li_I,-1.76,10.4,30.6,0.1,10.0
Li_II,2.5,10.4,30.6,0.1,15.1
Be_I,1.49,10.4,30.6,0.1,10.1
Be_II,-1.97,10.4,30.6,0.996,8.75
Be_III,-1.43,10.4,30.6,0.848,3.65
B_I,1.29,10.4,30.6,0.788,14.1
B_II,0.126,10.4,30.6,0.1,4.06
B_III,1.07,10.4,30.6,4.31,5.0
B_IV,1.29,10.4,30.6,0.256,10.0
C_I,0.036,10.4,23.5,3.24,60.0
C_II,0.354,10.4,30.6,1.22,33.5
N_I,0.251,10.4,30.6,1.66,3.34
N_II,-0.19,10.4,30.6,0.1,5.62
N_III,5.79,10.4,30.6,0.1,8.31
N_IV,-0.438,10.4,30.6,0.1,29.6
N_V,2.32,10.4,30.6,0.161,10.0
F_I,0.749,10.4,30.6,0.84,47.4
Ne_I,-3.87,10.4,30.6,0.406,10.0
Na_I,0.907,10.4,30.6,1.12,3.0
Mg_I,-1.5,10.4,30.6,0.1,10.0
Al_I,2.09,10.4,30.6,1.5,9.98
Al_II,3.44,10.4,30.6,0.1,3.0
Al_III,6.68,10.4,30.6,0.1,5.25
Si_I,-1.06,10.4,23.9,3.25,10.9
Si_II,-1.75,10.4,30.6,0.1,11.0
Si_III,0.531,10.4,30.6,0.939,11.3
P_I,-2.0,10.4,30.6,0.1,10.0
P_II,-2.5,10.4,30.6,0.1,10.0
P_III,-0.532,10.4,30.6,2.97,3.0
S_II,4.49,10.4,30.6,0.1,3.0
Ar_I,0.688,10.4,30.6,3.69,3.0
K_I,1.68,10.4,30.6,2.53,3.0
K_II,1.06,10.4,30.6,2.16,4.38
Ca_I,-0.0303,10.4,30.6,5.63,13.5
Ca_II,1.74,10.4,30.6,1.09,16.5
Sc_I,-1.5,10.4,30.6,0.1,10.0
Sc_II,-0.747,10.4,30.6,0.849,3.78
Ti_III,1.11,10.4,30.6,0.22,10.0
Fe_I,-1.5,10.4,30.6,0.1,10.0
Fe_II,-0.809,10.4,20.1,4.48,3.0
Fe_III,-1.75,10.4,30.6,0.1,10.0
Fe_IV,1.0,10.4,27.2,2.03,6.59
Co_II,-0.06,10.4,30.6,4.17,3.0
Ni_I,1.0,10.4,30.6,4.97,9.44
Zn_I,-2.0,10.4,30.3,0.1,10.0
Ba_I,0.03,10.4,30.2,1.59,21.1
Ba_II,-1.38,10.4,30.0,0.1,10.0
